,created_date,job_title,company,salary,address,time,link_description,min_salary,max_salary,salary_unit,position,level,city,district
1132,2023-08-01,Chuyên Viên Vận Hà nh Hệ Thống Phần Mềm,CÔNG TY CP XNK NAM TRUNG - VIỆT NAM (NTVN),Thoả thuận,Hồ Chí Minh: Quận 2,Còn 11 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/chuyen-vien-van-hanh-he-thong-phan-mem/1066883.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,SOFTWARE_ENGINEER,UNKNOWN,Hồ Chí Minh, Quận 2
1133,2023-08-01,Middle Business Analyst (English Required),Công ty cổ phần Công nghệ VISSOFT,"Tá»›i 1,700 USD",Hà Nội: Nam Từ Liêm,Còn 10 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/middle-business-analyst-english-required/1067313.html?ta_source=JobSearchList_LinkDetail,,"1,700",USD,BUSINESS_ANALYST,MIDDLE,Hà Nội, Nam Từ Liêm
1134,2023-08-01,Reactjs Developer,CTCP Phần mềm SOFTMART,10 - 18 triệu,Hà Nội: Đống Đa,Còn 10 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/reactjs-developer/1066741.html?ta_source=JobSearchList_LinkDetail,10,18,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Đống Đa
1135,2023-08-01,Senior Manual Tester,ICETEA LABS,Tới 20 triệu,Hà Nội: Cầu Giấy,Còn 11 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/senior-manual-tester/1067287.html?ta_source=JobSearchList_LinkDetail,,20,million VND,QA_TESTER,SENIOR,Hà Nội, Cầu Giấy
1136,2023-08-01,.Net Developer (Junior),Công ty Cổ phần DMSpro,Thoả thuận,Hồ Chí Minh: Quận 3,Còn 11 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/net-developer-junior/1039174.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,SOFTWARE_ENGINEER,JUNIOR,Hồ Chí Minh, Quận 3
1137,2023-08-01,Chuyên Viên An Toà n Thông Tin,Công ty Cổ phần Chứng nhận và Giám định Quốc tế ISOCERT,Tới 20 triệu,Hà Nội: Hoà ng Mai,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/chuyen-vien-an-toan-thong-tin/1066508.html?ta_source=JobSearchList_LinkDetail,,20,million VND,OTHER,UNKNOWN,Hà Nội, Hoà ng Mai
1138,2023-08-01,Unity Developer Tại Hà Nội - Mức Lương Cứng Hấp Dẫn 13-30 Triệu,Công ty Cổ phần Panthera,13 - 30 triệu,Hà Nội: Cầu Giấy,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/unity-developer-tai-ha-noi-muc-luong-cung-hap-dan-13-30-trieu/1067280.html?ta_source=JobSearchList_LinkDetail,13,30,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Cầu Giấy
1139,2023-08-01,Nhân Viên SEO Website,CÔNG TY TNHH KAMITA,10 - 15 triệu,Hà Nội: Ba Đình,Còn 10 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-seo-website/954007.html?ta_source=JobSearchList_LinkDetail,10,15,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Ba Đình
1140,2023-08-01,Senior Business Analyst,Viettel Digital,Thoả thuận,Hà Nội: Nam Từ Liêm,Còn 35 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/senior-business-analyst/959553.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,BUSINESS_ANALYST,SENIOR,Hà Nội, Nam Từ Liêm
1141,2023-08-01,Process Quality Assurance (Pqa),Viettel Digital,Thoả thuận,Hà Nội: Nam Từ Liêm,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/process-quality-assurance-pqa/1067024.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,QA_TESTER,UNKNOWN,Hà Nội, Nam Từ Liêm
